firstname,lastname,username,department,password,ou
John,Smith,smithj,IT,Passw0rd,
Mark ,Murphy,murphym,IT,Passw0rd,
David,Murray,murraym,IT,Passw0rd,
Rachel,Martin,martinr,Finance,Passw0rd,
Tony,Biden,bident,Finance,Passw0rd,
Martin,Potter,potterm,Finance,Passw0rd,
Julia,Blinken,blinkenj,IT,Passw0rd,
Liam,Miller,millerl,HR,Passw0rd,
Noah,Brown,brownn,HR,Passw0rd,
William,Lopez,lopezw,IT,Passw0rd,
Olivia,Thompson,thompsono,Finance,Passw0rd,
Emma,Hall,halle,Finance,Passw0rd,
Sophia,Baker,bakers,Finance,Passw0rd,
Patrick,WRIGHT,wrightp,Finance,Passw0rd,
RICHARD,LOPEZ,lopezr,Finance,Passw0rd,
CHARLES,HILL,hillc,Finance,Passw0rd,
JOSEPH,SCOTT,scottj,Finance,Passw0rd,
THOMAS,GREEN,greent,Finance,Passw0rd,
CHRISTOPHER,ADAMS,adamsc,Finance,Passw0rd,
DANIEL,BAKER,bakerd,IT,Passw0rd,
PAUL,GONZALEZ,conzalezp,HR,Passw0rd,
MARK,NELSON,nelsonm,HR,Passw0rd,
DONALD,CARTER,carterd,IT,Passw0rd,
GEORGE,MITCHELL,mitchellg,IT,Passw0rd,
KENNETH,PEREZ,perezk,HR,Passw0rd,
STEVEN,ROBERTS,robertss,HR,Passw0rd,
EDWARD,TURNER,turnere,IT,Passw0rd,
BRIAN,PHILLIPS,phillipsb,IT,Passw0rd,
RONALD,CAMPBELL,campbellr,HR,Passw0rd,
ANTHONY,PARKER,parkera,HR,Passw0rd,
KEVIN,EVANS,evansk,IT,Passw0rd,
JASON,EDWARDS,edwardsj,IT,Passw0rd,
MATTHEW,COLLINS,collinsm,HR,Passw0rd,
